id,name,description,industry,location,founded_year,employee_count,revenue_range
1,Nordic Fintech Solutions,"AI-powered platform for fraud detection, banking analytics, and risk assessment.",Fintech,Finland,2018,240,10M-50M
2,Baltic Payments Cloud,Cloud-native payments infrastructure and financial data platform for digital banking.,Fintech,Finland,2016,420,50M-100M
3,Rhine Health Systems,"Machine learning software for diagnostics, patient monitoring, and health data analysis.",Healthcare,Germany,2014,310,50M-100M
4,Helix BioCompute,AI-powered drug discovery and molecular analysis platform for biotech research teams.,Biotech,Germany,2019,95,10M-50M
5,GridPulse Analytics,Predictive software for renewable energy forecasting and smart grid optimization.,Energy,Sweden,2012,180,10M-50M
6,CloudForge Systems,"Distributed infrastructure platform for data pipelines, observability, and developer tools.",Technology,USA,2011,1200,100M-500M
7,RetailMind Europe,"Data-driven retail platform for demand forecasting, pricing optimization, and inventory planning.",Retail,France,2017,270,50M-100M
8,LogiChain Nordic,Real-time logistics intelligence system for route optimization and supply chain visibility.,Logistics,Norway,2015,140,10M-50M
9,EduSmart AI,Personalized learning and student analytics software for education platforms.,Education,UK,2020,60,1M-10M
10,AutoDrive Intelligence,"Machine learning software for autonomous driving, sensor fusion, and vehicle telemetry.",Automotive,Germany,2013,950,100M-500M
11,SignalStack Telecom,Network optimization and 5G analytics platform for telecom operators.,Telecom,Netherlands,2010,520,50M-100M
12,Arctic Risk Labs,Predictive risk assessment and fraud detection tools for Nordic banks and lenders.,Fintech,Sweden,2021,45,1M-10M
13,"Rodriguez, Figueroa and Sanchez",predictive solution for diagnostics.,Healthcare,USA,2018,209,10M-50M
14,Doyle Ltd,data-driven platform for autonomous driving.,Automotive,Germany,2001,717,50M-100M
15,"Mcclain, Miller and Henderson",AI-powered engine for autonomous driving.,Automotive,Sweden,2002,4936,100M-500M
16,Davis and Sons,AI-powered solution for network optimization.,Telecom,Netherlands,2003,2283,50M-100M
17,"Guzman, Hoffman and Baldwin",machine learning platform for renewable energy.,Energy,Germany,2006,2762,100M-500M
18,"Gardner, Robinson and Lawrence",AI-powered infrastructure for network optimization.,Telecom,Germany,2024,2171,100M-500M
19,Blake and Sons,predictive infrastructure for health data.,Healthcare,Netherlands,2013,4527,50M-100M
20,"Henderson, Ramirez and Lewis",real-time software for diagnostics.,Healthcare,UK,2022,380,50M-100M
21,Garcia-James,automated infrastructure for supply chain visibility.,Logistics,USA,2006,2282,100M-500M
22,Abbott-Munoz,machine learning engine for energy forecasting.,Energy,USA,2012,2192,500M+
23,Blair PLC,automated system for renewable energy.,Energy,UK,2016,1343,100M-500M
24,Dudley Group,AI-powered software for banking analytics.,Fintech,France,1997,1881,50M-100M
25,Arnold Ltd,real-time infrastructure for network optimization.,Telecom,Sweden,2023,2582,500M+
26,"Mcclure, Ward and Lee",predictive solution for personalized learning.,Education,France,2018,1175,500M+
27,Williams and Sons,data-driven software for route optimization.,Logistics,USA,2011,4785,100M-500M
28,Galloway-Wyatt,machine learning solution for health data.,Healthcare,USA,2020,390,500M+
29,James Group,machine learning system for supply chain visibility.,Logistics,Norway,2011,4890,100M-500M
30,"Flowers, Martin and Kelly",machine learning infrastructure for vehicle telemetry.,Automotive,Netherlands,1998,99,50M-100M
31,"Adams, Zuniga and Wong",automated platform for supply chain visibility.,Logistics,USA,2011,1300,50M-100M
32,"Reid, Ferguson and Sanchez",real-time solution for cloud infrastructure.,Technology,USA,2012,4163,500M+
33,Gray-Mayo,distributed system for payments.,Fintech,Germany,2024,4911,100M-500M
34,"Watts, Robinson and Nguyen",AI-powered solution for observability.,Technology,Germany,1997,1966,500M+
35,Perez Inc,cloud-native solution for student analytics.,Education,USA,2003,571,500M+
36,Morales-Jones,real-time engine for 5G analytics.,Telecom,France,2007,3471,500M+
37,"Walter, Edwards and Rios",automated platform for demand forecasting.,Retail,UK,1997,3593,100M-500M
38,Wilkerson-Day,real-time engine for fraud detection.,Fintech,Finland,1997,4824,500M+
39,Baker and Sons,machine learning platform for lending.,Fintech,Germany,2011,1880,50M-100M
40,"Hoffman, Baker and Richards",real-time engine for data pipelines.,Technology,Norway,2002,3981,100M-500M
41,"Ross, Robinson and Bright",machine learning platform for supply chain visibility.,Logistics,Netherlands,2008,1564,100M-500M
42,"Snyder, Campos and Callahan",machine learning platform for student analytics.,Education,Netherlands,2020,448,50M-100M
43,Burton Ltd,real-time engine for renewable energy.,Energy,USA,2008,1574,50M-100M
44,Carlson-Cruz,real-time platform for cloud infrastructure.,Technology,Germany,1996,3794,500M+
45,"Ferrell, Rice and Maddox",machine learning solution for autonomous driving.,Automotive,Sweden,2010,125,50M-100M
46,Frazier Inc,AI-powered solution for renewable energy.,Energy,Finland,2007,3290,100M-500M
47,"Dyer, Potter and Mack",data-driven infrastructure for student analytics.,Education,USA,2001,2341,100M-500M
48,Rodriguez-Graham,AI-powered infrastructure for renewable energy.,Energy,Finland,1996,484,500M+
49,Smith-Bowen,cloud-native platform for personalized learning.,Education,USA,1997,4124,500M+
50,"Baker, Mason and White",data-driven platform for health data.,Healthcare,UK,2013,1931,500M+
51,Harrell LLC,data-driven infrastructure for lending.,Fintech,France,2001,676,500M+
52,"Romero, Gonzalez and Brooks",predictive system for demand forecasting.,Retail,France,2009,1960,100M-500M
53,Ryan PLC,automated engine for health data.,Healthcare,Germany,1997,81,10M-50M
54,George Group,cloud-native software for autonomous driving.,Automotive,UK,2006,2177,100M-500M
55,Rodriguez LLC,predictive engine for molecular analysis.,Biotech,Finland,2016,3594,500M+
56,Allen-Allen,cloud-native software for data pipelines.,Technology,Germany,2018,853,500M+
57,"Arroyo, Miller and Tucker",predictive engine for drug discovery.,Biotech,Netherlands,2001,2236,500M+
58,Spence PLC,automated software for data pipelines.,Technology,Germany,2015,4145,100M-500M
59,Anderson Group,AI-powered software for data pipelines.,Technology,France,2000,366,500M+
60,"Martin, Rose and Obrien",data-driven engine for personalized learning.,Education,Germany,1997,4524,500M+
61,Hickman Ltd,AI-powered software for molecular analysis.,Biotech,USA,2008,4474,50M-100M
62,"Harris, Collins and Carney",distributed platform for lending.,Fintech,UK,2016,2530,50M-100M
63,"Brooks, Lam and Hayes",data-driven engine for health data.,Healthcare,USA,2024,2902,50M-100M
64,Walker LLC,data-driven platform for drug discovery.,Biotech,Netherlands,2020,1455,100M-500M
65,Chapman and Sons,cloud-native infrastructure for smart grid.,Energy,Sweden,2022,2190,50M-100M
66,"Robinson, Jones and Welch",real-time system for student analytics.,Education,France,2021,1827,50M-100M
67,Jones Inc,real-time system for renewable energy.,Energy,France,2022,198,10M-50M
68,Jones-Young,data-driven infrastructure for observability.,Technology,Netherlands,1995,2881,50M-100M
69,"Washington, Ryan and Cummings",predictive platform for data pipelines.,Technology,Sweden,2006,1467,500M+
70,"Johnston, Sanchez and Kennedy",machine learning system for inventory planning.,Retail,UK,2003,3579,50M-100M
71,Lee-Davis,real-time software for supply chain visibility.,Logistics,Germany,2016,18,1M-10M
72,Gomez-Jenkins,machine learning infrastructure for network optimization.,Telecom,France,2016,2576,100M-500M
73,"Brown, Valdez and Lucas",predictive engine for demand forecasting.,Retail,UK,2008,3301,500M+
74,Powell LLC,predictive system for route optimization.,Logistics,France,2004,1430,50M-100M
75,Wright and Sons,distributed system for supply chain visibility.,Logistics,Norway,2016,4756,50M-100M
76,"West, Henderson and Ramirez",cloud-native infrastructure for autonomous driving.,Automotive,France,2011,3881,500M+
77,Baxter Inc,machine learning solution for network optimization.,Telecom,UK,2020,2750,50M-100M
78,Morton-Chase,AI-powered solution for gene editing.,Biotech,Germany,2009,205,50M-100M
79,Williams PLC,data-driven system for network optimization.,Telecom,UK,1999,1597,500M+
80,Novak and Sons,data-driven solution for fraud detection.,Fintech,Norway,1996,878,500M+
81,Russell Group,automated solution for renewable energy.,Energy,Netherlands,2019,999,100M-500M
82,Hancock Inc,data-driven engine for network optimization.,Telecom,USA,2018,4140,100M-500M
83,Gray Group,real-time infrastructure for student analytics.,Education,Norway,2015,2128,50M-100M
84,House-Glover,machine learning infrastructure for cloud infrastructure.,Technology,UK,2003,3608,100M-500M
85,Henderson-Bernard,machine learning solution for demand forecasting.,Retail,UK,2007,4429,500M+
86,"Stanley, Tucker and Lee",machine learning system for gene editing.,Biotech,Netherlands,2012,1757,100M-500M
87,Novak PLC,real-time system for supply chain visibility.,Logistics,Finland,2022,515,500M+
88,"Daniels, Adkins and Brown",AI-powered software for supply chain visibility.,Logistics,Sweden,2022,3912,100M-500M
89,"Woods, Calhoun and Schmidt",real-time system for autonomous driving.,Automotive,France,2008,4478,100M-500M
90,Yu Inc,distributed infrastructure for banking analytics.,Fintech,USA,2021,3190,100M-500M
91,Jones Inc,AI-powered system for molecular analysis.,Biotech,Finland,1997,4380,500M+
92,"Hensley, Powell and David",automated solution for route optimization.,Logistics,France,2007,1116,100M-500M
93,"Sanchez, Wheeler and Harvey",distributed software for renewable energy.,Energy,France,2019,3729,100M-500M
94,Sandoval-Cunningham,automated platform for observability.,Technology,Finland,2006,675,50M-100M
95,Donovan-Harris,AI-powered solution for diagnostics.,Healthcare,Finland,2014,334,50M-100M
96,"Edwards, Baker and Anderson",automated infrastructure for smart grid.,Energy,UK,2009,1039,500M+
97,"Evans, Stewart and Walton",cloud-native engine for observability.,Technology,Germany,2019,3026,50M-100M
98,Smith PLC,AI-powered software for observability.,Technology,Sweden,2007,890,500M+
99,"Ferrell, Jones and Lewis",real-time platform for energy forecasting.,Energy,France,2022,627,500M+
100,Anderson-Bailey,AI-powered software for network optimization.,Telecom,Netherlands,1997,996,500M+
101,Suarez LLC,data-driven system for demand forecasting.,Retail,Sweden,2006,108,50M-100M
102,Moore-Bass,cloud-native infrastructure for molecular analysis.,Biotech,France,2014,3572,500M+
103,"Turner, Riggs and Roman",data-driven infrastructure for student analytics.,Education,Netherlands,2022,3813,50M-100M
104,"Smith, Montoya and Evans",automated solution for patient monitoring.,Healthcare,Sweden,2005,2289,50M-100M
105,"Garcia, Humphrey and Baker",cloud-native system for personalized learning.,Education,Netherlands,2020,2667,100M-500M
106,Newton and Sons,predictive engine for demand forecasting.,Retail,UK,1997,2295,50M-100M
107,Campbell-Clark,real-time infrastructure for supply chain visibility.,Logistics,Norway,2009,4007,50M-100M
108,Harris-Walters,real-time system for health data.,Healthcare,UK,2004,2415,500M+
109,Wagner-King,automated engine for network optimization.,Telecom,Sweden,2018,3028,500M+
110,Davis Group,automated software for pricing optimization.,Retail,France,2002,2887,50M-100M
111,Williams-Cook,machine learning infrastructure for energy forecasting.,Energy,USA,2001,2589,50M-100M
112,Walsh LLC,predictive platform for personalized learning.,Education,France,2002,2270,100M-500M
113,Figueroa PLC,AI-powered infrastructure for molecular analysis.,Biotech,USA,2003,2481,50M-100M
114,"Patterson, Smith and Jones",predictive infrastructure for fraud detection.,Fintech,Norway,1998,4538,50M-100M
115,"Mckee, Gardner and Davenport",automated system for network optimization.,Telecom,Netherlands,2000,2334,50M-100M
116,"Tran, Jordan and Williams",machine learning platform for cloud infrastructure.,Technology,Norway,1997,3918,500M+
117,Nolan-Flynn,cloud-native engine for lending.,Fintech,Germany,2002,1247,50M-100M
118,Nolan and Sons,real-time engine for vehicle telemetry.,Automotive,Norway,2024,3414,100M-500M
119,"Wright, Garcia and Deleon",data-driven software for observability.,Technology,Finland,2014,4826,500M+
120,Dickson-Brady,real-time software for health data.,Healthcare,Germany,2000,1707,50M-100M
121,Hancock and Sons,machine learning solution for drug discovery.,Biotech,Sweden,2009,4526,500M+
122,Johnson-Doyle,predictive platform for 5G analytics.,Telecom,France,2017,3854,100M-500M
123,Patton-Jenkins,real-time software for personalized learning.,Education,Sweden,1998,588,500M+
124,"Shields, Cochran and Adams",predictive solution for smart grid.,Energy,Finland,2000,1225,100M-500M
125,"Rodriguez, Brennan and Garrison",predictive system for 5G analytics.,Telecom,Norway,2017,4667,100M-500M
126,Gonzalez Group,automated system for route optimization.,Logistics,Finland,2023,2235,100M-500M
127,Torres-Pope,predictive platform for demand forecasting.,Retail,UK,2016,4950,500M+
128,Walker Ltd,predictive engine for 5G analytics.,Telecom,USA,2010,174,50M-100M
129,Ross LLC,data-driven infrastructure for cloud infrastructure.,Technology,Germany,2010,1491,100M-500M
130,Rasmussen LLC,distributed infrastructure for route optimization.,Logistics,USA,2005,2735,100M-500M
131,May-Ross,data-driven engine for personalized learning.,Education,Norway,1997,2366,100M-500M
